DV2,DV1,Productissues,BO,Advertisingassets,RDassets,Size,Profit,Liquidity,Leverage,Capitalintensity,Retainedearnings,Relativeperformance,Concentration,Salesgrowth,Salesturbulence,Industrycompetition,Industrygrowth,Industryturbulence,fyear
-2.9208288,.037535716,-.089604594,.63630086,-.24351603,-.39293671,1.27526,.36439604,-1.1910383,.22742762,1.9744519,.31974059,-.15079448,-.48699158,-.63598901,-.16993263,-.67054993,-.22252513,-.28956351,2011
-3.4524205,-.063347019,-.089604594,.33187133,-.24351603,-.40029514,1.3629863,.25909862,-1.272391,.28349495,1.7716699,.30403361,-.12942256,-.4986394,-.62318581,-.17785837,-.65051162,-.21456201,-.2929607,2012
-3.2243013,-.16787401,-.089604594,.19159499,-.24351603,-.39911652,1.389909,.24810545,-1.2775688,.20905448,1.8743786,.30978024,-.12304553,-.554398,-.50725466,-.18358043,-.62848854,-.14245698,-.29541337,2013
-3.347997,-.17052764,-.089604594,.41494274,-.24351603,-.39387208,1.3878543,.24512729,-1.2775688,.0011565711,2.0843651,.31268591,-.055334136,-.554398,-.18176292,-.63831675,-.64625424,.059987359,-.49032727,2014
-4.3923864,-.069090068,-.089604594,.48421034,-.24351603,-.38866916,1.3778708,.3168872,-1.2775688,-.021726277,2.1238809,.31029546,.0045891269,-.54661858,-.30833659,-.72371548,-.71862561,-.018736968,-.52693182,2015
-4.4518332,-.15627456,-.089604594,.28013819,-.24351603,-.38961568,1.3958011,.35988796,-1.2011924,-.11149803,1.7962149,.29836187,-.13956694,-.53792822,-.49131227,-.73771578,-.6157943,-.13254134,-.53293276,2016
-6.0038948,-.24808241,-.089604594,-.10400513,-.24351603,-.39987767,1.4074297,.26899466,-.57828057,-.40383312,1.5870173,.34610558,-.12696518,-.47529566,-.55792034,-.6657154,-.54044062,-.17396921,-.5020712,2017
-4.4892864,-.099021487,-.089604594,-.10325898,-.24351603,-.40818301,1.4269072,.32745704,-.77758664,-.47560394,1.966814,.3502396,-.13483725,-.47907975,-.89418489,-.61123621,-.56051445,-.38311383,-.47871974,2018
-4.8110504,.030083161,-.089604594,-.28046975,-.24351603,-.41084927,1.4205378,.39619166,-.75486225,-.64423376,2.1238809,.35430241,-.1484132,-.47855476,-.89044309,-.57786626,-.41526535,-.38078657,-.46441635,2019
-4.6284943,.03329445,-.089604594,.60645467,-.24351603,-.42702368,1.5670319,.32597286,-.25439641,-.37631705,1.7964959,.31714347,-.13745585,-.49508521,-.72815371,-.49539378,-.38140053,-.27984834,-.42906612,2020
-6.6220388,.14806649,-.089604594,.81313854,-.24351603,.06144182,-.0058371648,.21655913,-.17079887,-.053597644,-.47536117,-.010599999,-.1409575,-.2907553,.34261823,-.079735883,-1.0770401,.66789073,-.26143762,2007
-13.776547,-.15690957,-.089604594,.69375443,-.24351603,.2301987,.013780688,.38363576,-.10236327,-.33640504,-.40473795,.02431198,-.1298711,-.2550523,-.28628138,-.25391233,-1.0770401,.33734334,-.27975878,2008
-8.028718,.06858664,-.089604594,1.551206,-.24351603,.2660113,.061215758,.29890603,-.051910345,-.69967377,-.53361917,.057885408,-.14332901,-.23795004,-.43089375,-.55178899,-1.0770401,-.010735673,-.46150216,2009
-11.759,-.35746536,-.089604594,1.7391117,-.24351603,.2511605,.1350098,.37546453,.36431578,-.88764107,-.46500272,.085539214,-.13215701,-.20799448,-.43107259,-.55407059,-1.0770401,-.21056069,-.51465279,2010
